--- Data Balancing and Grouping Log ---
  - Writing 9 functions for project 'radvd'
  - Writing 9 functions for project 'linux-pam'
  - Writing 7 functions for project 'empathy'
  - Writing 80 functions for project 'ruby'
  - Writing 21 functions for project 'augeas'
  - Writing 21 functions for project 'xrdp'
  - Writing 3 functions for project 'suhosin'
  - Writing 10 functions for project 'linux-stable-rt'
  - Writing 5 functions for project 'pyfribidi'
  - Writing 53 functions for project 'quagga'
  - Writing 8 functions for project 'libgdata'
  - Writing 100 functions for project 'file'
  - Writing 3 functions for project 'quagga-RE'
  - Writing 27 functions for project 'net-next'
  - Writing 208 functions for project 'krb5'
  - Writing 73 functions for project 'bdwgc'
  - Writing 28 functions for project 'ioq3'
  - Writing 5 functions for project 'at-spi2-atk'
  - Writing 53 functions for project 'chrony'
  - Writing 5 functions for project 'jabberd2'
  - Writing 31 functions for project 'freeradius-server'
  - Writing 5 functions for project 'gegl'
  - Writing 7 functions for project 'pgbouncer'
  - Writing 5 functions for project 'char-misc'
  - Writing 67 functions for project 'libreport'
  - Writing 45 functions for project 'grep'
  - Writing 148 functions for project 'gnupg'
  - Writing 28 functions for project 'pacemaker'
  - Writing 74 functions for project 'util-linux'
  - Writing 309 functions for project 'ghostpdl'
  - Writing 7 functions for project 'cronie'
  - Writing 23 functions for project 'gnome-online-accounts'
  - Writing 177 functions for project 'redis'
  - Writing 128 functions for project 'libarchive'
  - Writing 8 functions for project 'corosync'
  - Writing 56 functions for project 'polarssl'
  - Writing 330 functions for project 'net'
  - Writing 6 functions for project 'haproxy-1.4'
  - Writing 43 functions for project 'haproxy'
  - Writing 12 functions for project 'ModSecurity'
  - Writing 185 functions for project 'curl'
  - Writing 42 functions for project 'memcached'
  - Writing 4 functions for project 'gpsd'
  - Writing 12 functions for project 'openvpn'
  - Writing 2 functions for project 'target-pending'
  - Writing 9 functions for project 'libguestfs'
  - Writing 5 functions for project 'wireless'
  - Writing 42 functions for project 'evolution-data-server'
  - Writing 3 functions for project 'clutter'
  - Writing 42 functions for project 'file-roller'
  - Writing 311 functions for project 'FreeRDP'
  - Writing 8 functions for project 'cyrus-sasl'
  - Writing 126 functions for project 'Little-CMS'
  - Writing 9 functions for project 'passenger'
  - Writing 29 functions for project 'libgcrypt'
  - Writing 94 functions for project 'LibRaw'
  - Writing 41 functions for project 'linux-stable'
  - Writing 2 functions for project 'quassel'
  - Writing 10 functions for project 'libgadu'
  - Writing 5 functions for project 'pound'
  - Writing 10 functions for project 'libreswan'
  - Writing 3 functions for project 'json-c'
  - Writing 341 functions for project 'FFmpeg'
  - Writing 33 functions for project 'jansson'
  - Writing 110 functions for project 'tip'
  - Writing 4 functions for project 'gnumeric'
  - Writing 16 functions for project 'mapserver'
  - Writing 84 functions for project 'mongo'
  - Writing 32 functions for project 'mupdf'
  - Writing 3 functions for project 'cinnamon-screensaver'
  - Writing 322 functions for project 'postgres'
  - Writing 49 functions for project 'libssh'
  - Writing 49 functions for project 'node'
  - Writing 4 functions for project 'lftp'
  - Writing 7 functions for project 'hexchat'
  - Writing 49 functions for project 'rsync'
  - Writing 19 functions for project 'tty'
  - Writing 13 functions for project 'mod_wsgi'
  - Writing 31 functions for project 'libtasn1'
  - Writing 13 functions for project 'iodine'
  - Writing 12 functions for project 'claws'
  - Writing 1 functions for project 'SoftHSMv2'
  - Writing 10 functions for project 'lz4'
  - Writing 1 functions for project 'webserver'
  - Writing 6 functions for project 'rawstudio'
  - Writing 3 functions for project 'ppp'
  - Writing 17 functions for project 'user-namespace'
  - Writing 56 functions for project 'libevent'
  - Writing 1 functions for project 'libzmq'
  - Writing 6 functions for project 'torque'
  - Writing 2 functions for project 'mksh'
  - Writing 28 functions for project 'mod_auth_mellon'
  - Writing 10 functions for project 'aircrack-ng'
  - Writing 24 functions for project 'flac'
  - Writing 19 functions for project 'cpio'
  - Writing 7 functions for project 'hivex'
  - Writing 4 functions for project 'libyaml'
  - Writing 253 functions for project 'tcpdump'
  - Writing 63 functions for project 'libsndfile'
  - Writing 18 functions for project 'e2fsprogs'
  - Writing 2 functions for project 'libhtp'
  - Writing 12 functions for project 'nf'
  - Writing 295 functions for project 'mysql-server'
  - Writing 8 functions for project 'libuv'
  - Writing 683 functions for project 'ImageMagick'
  - Writing 17 functions for project 'libidn'
  - Writing 16 functions for project 'freeipa'
  - Writing 9 functions for project 'redcarpet'
  - Writing 43 functions for project 'nettle'
  - Writing 30 functions for project 'abrt'
  - Writing 14 functions for project 't1utils'
  - Writing 50 functions for project 'libexpat'
  - Writing 3 functions for project 'pykerberos'
  - Writing 23 functions for project 'kvm-guest-drivers-windows'
  - Writing 9 functions for project 'tidy-html5'
  - Writing 23 functions for project 'pure-ftpd'
  - Writing 54 functions for project 'lxc'
  - Writing 25 functions for project 'open-vm-tools'
  - Writing 26 functions for project 'screen'
  - Writing 131 functions for project 'openjpeg'
  - Writing 14 functions for project 'gvfs'
  - Writing 12 functions for project 'media_tree'
  - Writing 52 functions for project 'mbedtls'
  - Writing 15 functions for project 'miniupnp'
  - Writing 86 functions for project 'ntp'
  - Writing 3 functions for project 'linux-next'
  - Writing 2 functions for project 'pycurl'
  - Writing 7 functions for project 'tmux'
  - Writing 31 functions for project 'libpng'
  - Writing 12 functions for project 'libmaxminddb'
  - Writing 151 functions for project 'systemd'
  - Writing 12 functions for project 'grub'
  - Writing 15 functions for project 'cgit'
  - Writing 41 functions for project 'Pillow'
  - Writing 44 functions for project 'libssh2'
  - Writing 22 functions for project 'ntopng'
  - Writing 35 functions for project 'sound'
  - Writing 8 functions for project 'nf-next'
  - Writing 77 functions for project 'libgd'
  - Writing 11 functions for project 'libsrtp'
  - Writing 10 functions for project 'Varnish-Cache'
  - Writing 4 functions for project 'jq'
  - Writing 8 functions for project 'libndp'
  - Writing 24 functions for project 'nfdump'
  - Writing 4 functions for project 'dosfstools'
  - Writing 2 functions for project 'libusbmuxd'
  - Writing 2 functions for project 'libimobiledevice'
  - Writing 167 functions for project 'wireshark'
  - Writing 7 functions for project 'ext-http'
  - Writing 5 functions for project 'pupnp-code'
  - Writing 17 functions for project 'collectd'
  - Writing 9 functions for project 'DBD-mysql'
  - Writing 25 functions for project 'openssh-portable'
  - Writing 28 functions for project 'libexif'
  - Writing 2 functions for project 'eog'
  - Writing 29 functions for project 'optee_os'
  - Writing 1 functions for project 'libtomcrypt'
  - Writing 26 functions for project 'rpm'
  - Writing 4 functions for project 'libtorrent'
  - Writing 987 functions for project 'openssl'
  - Writing 55 functions for project 'mujs'
  - Writing 569 functions for project 'vim'
  - Writing 76 functions for project 'w3m'
  - Writing 19 functions for project 'gst-plugins-good'
  - Writing 19 functions for project 'gst-plugins-base'
  - Writing 16 functions for project 'gst-plugins-bad'
  - Writing 21 functions for project 'zlib'
  - Writing 2 functions for project 'libgsf'
  - Writing 79 functions for project 'irssi'
  - Writing 8 functions for project 'icoutils'
  - Writing 56 functions for project 'libgit2'
  - Writing 17 functions for project 'libplist'
  - Writing 19 functions for project 'tk'
  - Writing 2 functions for project 'opus'
  - Writing 28 functions for project 'WavPack'
  - Writing 1 functions for project 'roundcubemail'
  - Writing 6 functions for project 'gtk-vnc'
  - Writing 9 functions for project 'gstreamer'
  - Writing 137 functions for project 'bash'
  - Writing 104 functions for project 'bluez'
  - Writing 43 functions for project 'mod_auth_openidc'
  - Writing 15 functions for project 'tcpreplay'
  - Writing 7 functions for project 'ettercap'
  - Writing 5 functions for project 'ytnef'
  - Writing 1 functions for project 'capstone'
  - Writing 5 functions for project 'proftpd'
  - Writing 39 functions for project 'yara'
  - Writing 1 functions for project 'feh'
  - Writing 12 functions for project 'gnulib'
  - Writing 8 functions for project 'libcroco'
  - Writing 6 functions for project 'libetpan'
  - Writing 7 functions for project 'menu-cache'
  - Writing 4 functions for project 'picocom'
  - Writing 2 functions for project 'thrift'
  - Writing 5 functions for project 'c-ares'
  - Writing 7 functions for project 'libgphoto2'
  - Writing 2 functions for project 'tpm2.0-tools'
  - Writing 107 functions for project 'oniguruma'
  - Writing 17 functions for project 'heimdal'
  - Writing 7 functions for project 'gnome-session'
  - Writing 7 functions for project 'ipsec'
  - Writing 2 functions for project 'shadow'
  - Writing 12 functions for project 'libsoup'
  - Writing 21 functions for project 'connman'
  - Writing 1 functions for project 'resiprocate'
  - Writing 4 functions for project 'libzip'
  - Writing 18 functions for project 'tcmu-runner'
  - Writing 8 functions for project 'json'
  - Writing 4 functions for project 'gnome-shell'
  - Writing 15 functions for project 'libbson'
  - Writing 123 functions for project 'ovs'
  - Writing 51 functions for project 'src'
  - Writing 2 functions for project 'htcondor'
  - Writing 3 functions for project 'ox'
  - Writing 19 functions for project 'ldns'
  - Writing 103 functions for project 'cpython'
  - Writing 4 functions for project 'lynx-snapshots'
  - Writing 8 functions for project 'libgxps'
  - Writing 2 functions for project 'yajl-ruby'
  - Writing 1 functions for project 'at-spi2-core'
  - Writing 5 functions for project 'gcab'
  - Writing 9 functions for project 'GIMP'
  - Writing 170 functions for project 'libtiff'
  - Writing 5 functions for project 'gifsicle'
  - Writing 3 functions for project 'wildmidi'
  - Writing 80 functions for project 'flatpak'
  - Writing 51 functions for project 'zziplib'
  - Writing 8 functions for project 'uwsgi'
  - Writing 2 functions for project 'iniparser'
  - Writing 41 functions for project 'leptonica'
  - Writing 53 functions for project 'cups'
  - Writing 3 functions for project 'atril'
  - Writing 2 functions for project 'libcdio'
  - Writing 2 functions for project 'AFFLIBv3'
  - Writing 4 functions for project 'vorbis'
  - Writing 2 functions for project 'staging'
  - Writing 20 functions for project 'nasm'
  - Writing 2 functions for project 'librelp'
  - Writing 17 functions for project 'PackageKit'
  - Writing 194 functions for project 'ImageMagick6'
  - Writing 12 functions for project 'abcm2ps'
  - Writing 61 functions for project 'libjpeg-turbo'
  - Writing 37 functions for project 'slurm'
  - Writing 43 functions for project 'liblouis'
  - Writing 132 functions for project 'librsvg'
  - Writing 4 functions for project 'cantata'
  - Writing 9 functions for project 'spice-common'
  - Writing 45 functions for project 'mutt'
  - Writing 55 functions for project 'neomutt'
  - Writing 12 functions for project 'mariadb-connector-c'
  - Writing 3 functions for project 'libfuse'
  - Writing 83 functions for project 'mod_h2'
  - Writing 7 functions for project 'mod_md'
  - Writing 4 functions for project 'NetworkManager-vpnc'
  - Writing 3 functions for project 'gnome-bluetooth'
  - Writing 10 functions for project 'libmspack'
  - Writing 12 functions for project 'pam_pkcs11'
  - Writing 17 functions for project 'libxkbcommon'
  - Writing 37 functions for project 'glib'
  - Writing 3 functions for project 'mongo-c-driver'
  - Writing 135 functions for project 'OpenSC'
  - Writing 8 functions for project 'texlive-source'
  - Writing 1 functions for project 'udisks'
  - Writing 6 functions for project 'squid'
  - Writing 6 functions for project 'icecast-server'
  - Writing 33 functions for project 'perl5'
  - Writing 40 functions for project 'amanda'
  - Writing 11 functions for project 'lighttpd1.4'
  - Writing 22 functions for project 'poppler'
  - Writing 65 functions for project 'keepalived'
  - Writing 19 functions for project 'uriparser'
  - Writing 18 functions for project 'sysstat'
  - Writing 1 functions for project 'android_kernel_xiaomi_msm8996'
  - Writing 3 functions for project 'mosquitto'
  - Writing 11 functions for project 'tar'
  - Writing 437 functions for project 'radare2'
  - Writing 4 functions for project 'nagioscore'
  - Writing 10 functions for project 'libxsmm'
  - Writing 23 functions for project 'spice'
  - Writing 10 functions for project 'libcomps'
  - Writing 52 functions for project 'rdesktop'
  - Writing 8 functions for project 'netmask'
  - Writing 70 functions for project 'evolution-ews'
  - Writing 71 functions for project 'bind9'
  - Writing 54 functions for project 'edk2'
  - Writing 3 functions for project 'advancecomp'
  - Writing 8 functions for project 'openj9'
  - Writing 2 functions for project 'libu2f-host'
  - Writing 4 functions for project 'libcaca'
  - Writing 17 functions for project 'libseccomp'
  - Writing 2 functions for project 'linux-fs'
  - Writing 1 functions for project 'bwa'
  - Writing 14 functions for project 'libqb'
  - Writing 11 functions for project 'qpid-proton'
  - Writing 8 functions for project 'iproute2'
  - Writing 6 functions for project 'snapd'
  - Writing 100 functions for project 'libvirt'
  - Writing 117 functions for project 'sqlite'
  - Writing 2 functions for project 'imagick'
  - Writing 66 functions for project 'firejail'
  - Writing 5 functions for project 'pam-u2f'
  - Writing 5 functions for project 'ibus'
  - Writing 3 functions for project 'sparc'
  - Writing 1 functions for project 'bzip2'
  - Writing 20 functions for project 'mongoose'
  - Writing 3 functions for project 'netdata'
  - Writing 12 functions for project 'unzip'
  - Writing 30 functions for project 'libslirp'
  - Writing 8 functions for project 'sleuthkit'
  - Writing 5 functions for project 'aubio'
  - Writing 37 functions for project 'nghttp2'
  - Writing 59 functions for project 'dpdk'
  - Writing 2 functions for project 'pigeonhole'
  - Writing 17 functions for project 'pdfresurrect'
  - Writing 3 functions for project 'wireless-drivers'
  - Writing 5 functions for project 'nmap'
  - Writing 1 functions for project 'libextractor'
  - Writing 11 functions for project 'bird'
  - Writing 52 functions for project 'envoy'
  - Writing 16 functions for project 'varnish-cache'
  - Writing 30 functions for project 'nbdkit'
  - Writing 1 functions for project 'ast'
  - Writing 8 functions for project 'libpcap'
  - Writing 2 functions for project 'kernel'
  - Writing 5 functions for project 'aspell'
  - Writing 9 functions for project 'libidn2'
  - Writing 41 functions for project 'virglrenderer'
  - Writing 1 functions for project 'gdal'
  - Writing 96 functions for project 'ncurses'
  - Writing 7 functions for project 'fribidi'
  - Writing 21 functions for project 'Onigmo'
  - Writing 15 functions for project 'libvips'
  - Writing 13 functions for project 'matio'
  - Writing 26 functions for project 'libnbd'
  - Writing 6 functions for project 'libmodbus'
  - Writing 49 functions for project 'psutil'
  - Writing 120 functions for project 'unbound'
  - Writing 3 functions for project 'gnome-font-viewer'
  - Writing 94 functions for project 'libyang'
  - Writing 3 functions for project 'rabbitmq-c'
  - Writing 2 functions for project 'libspiro'
  - Writing 30 functions for project 'libvpx'
  - Writing 2 functions for project 'libbsd'
  - Writing 36 functions for project 'fontforge'
  - Writing 10 functions for project 'nginx'
  - Writing 14 functions for project 'tigervnc'
  - Writing 3 functions for project 'gthumb'
  - Writing 9 functions for project 'sudo'
  - Writing 6 functions for project 'opencv'
  - Writing 2 functions for project '3proxy'
  - Writing 21 functions for project 'ipmitool'
  - Writing 3 functions for project 'http-parser'
  - Writing 3 functions for project 'llhttp'
  - Writing 11 functions for project 'NetHack'
  - Writing 3 functions for project 'typed_ast'
  - Writing 10 functions for project 'openexr'
  - Writing 2 functions for project 'docker-credential-helpers'
  - Writing 39 functions for project 'openldap'
  - Writing 9 functions for project 'transmission'
  - Writing 11 functions for project 'glib-networking'
  - Writing 1 functions for project 'jbig2dec'
  - Writing 28 functions for project 'net-snmp'
  - Writing 2 functions for project 'pngquant'
  - Writing 47 functions for project 'lua'
  - Writing 6 functions for project 'LuaJIT'
  - Writing 39 functions for project 'libx11'
  - Writing 8 functions for project 'libssh-mirror'
  - Writing 2 functions for project 'librepo'
  - Writing 34 functions for project 'cryptsetup'
  - Writing 29 functions for project 'brotli'
  - Writing 14 functions for project 'spice-vd_agent'
  - Writing 5 functions for project 'bluetooth-next'
  - Writing 4 functions for project 'fastd'
  - Writing 1 functions for project 'raptor'
  - Writing 12 functions for project 'lldpd'
  - Writing 15 functions for project 'cairo'
  - Writing 15 functions for project 'nanopb'
  - Writing 7 functions for project 'c-blosc2'
  - Writing 37 functions for project 'p11-kit'
  - Writing 7 functions for project 'dash'
  - Writing 24 functions for project '389-ds-base'
  - Writing 2 functions for project 'postsrsd'
  - Writing 6 functions for project 'kitty'
  - Writing 6 functions for project 'nokogiri'
  - Writing 1 functions for project 'gssproxy'
  - Writing 44 functions for project 'stunnel'
  - Writing 11 functions for project 'gnome-autoar'
  - Writing 6 functions for project 'x11vnc'
  - Writing 93 functions for project 'pjproject'
  - Writing 5 functions for project 'libmicrohttpd'
  - Writing 155 functions for project 'libtpms'
  - Writing 1 functions for project 'varnish-modules'
  - Writing 6 functions for project 'lasso'
  - Writing 8 functions for project 'NetworkManager'
  - Writing 2 functions for project 'fluent-bit'
  - Writing 2 functions for project 'samurai'
  - Writing 4 functions for project 'exif'
  - Writing 37 functions for project 'bpf'
  - Writing 5 functions for project 'polkit'
  - Writing 1 functions for project 'tpm2-tools'
  - Writing 8 functions for project 'swtpm'
  - Writing 49 functions for project 'httpd'
  - Writing 4 functions for project 'htmldoc'
  - Writing 3 functions for project 'cluster-glue'
  - Writing 30 functions for project 'selinux'
  - Writing 9 functions for project 'htslib'
  - Writing 5 functions for project 'libavif'
  - Writing 12 functions for project 'cockpit'
  - Writing 17 functions for project 'unicorn'
  - Writing 17 functions for project 'open62541'
  - Writing 21 functions for project 'libass'
  - Writing 1 functions for project 'libheif'
  - Writing 2 functions for project 'atomicparsley'
  - Writing 5 functions for project 'usbredir'
  - Writing 18 functions for project 'squashfs-tools'
  - Writing 5 functions for project 'wayland'
  - Writing 16 functions for project 'libmobi'
  - Writing 1 functions for project 'puma'
  - Writing 11 functions for project 'stb'
  - Writing 6 functions for project 'libmysofa'
  - Writing 5 functions for project 'uclibc-ng'
  - Writing 39 functions for project 'date'
  - Writing 14 functions for project 'libdwarf-code'
  - Writing 72 functions for project 'rizin'
  - Writing 65 functions for project 'suricata'
  - Writing 3 functions for project 'aide'
  - Writing 18 functions for project 'gerbv'
  - Writing 9 functions for project 'jhead'
  - Writing 1 functions for project 'shapelib'
  - Writing 64 functions for project 'frr'
  - Writing 6 functions for project 'swaylock'
  - Writing 27 functions for project 'libinput'
  - Writing 1 functions for project 'bwm-ng'
  - Writing 8 functions for project 'logrotate'
  - Writing 10 functions for project 'pcre2'
  - Writing 7 functions for project 'chafa'
  - Writing 12 functions for project 'SDL_ttf'
  - Writing 3 functions for project 'squirrel'
  - Writing 2 functions for project 'ecdsautils'
  - Writing 3 functions for project 'admesh'
  - Writing 3 functions for project 'linux-fbdev'
  - Writing 13 functions for project 'dcmtk'
  - Writing 5 functions for project 'xorg-xserver'
  - Writing 1 functions for project 'autotrace'
  - Writing 1 functions for project 'gsasl'
  - Writing 15 functions for project 'dpdk-stable'
  - Writing 1 functions for project 'Singular'
  - Writing 3 functions for project 'enlightenment'
  - Writing 16 functions for project 'ndjbdns'
  - Writing 12 functions for project 'eucalyptus'
  - Writing 1 functions for project 'firebird'
  - Writing 2 functions for project 'libffi'
  - Writing 12 functions for project 'bison'
  - Writing 546 functions for project 'gpac'
  - Writing 68 functions for project 'mruby'
  - Writing 171 functions for project 'tensorflow'
  - Writing 4 functions for project 'electron'
  - Writing 51 functions for project 'acrn-hypervisor'
  - Writing 36 functions for project 'nDPI'
  - Writing 23 functions for project 'glibc'
  - Writing 13 functions for project 'gpmf-parser'
  - Writing 68 functions for project 'njs'
  - Writing 3 functions for project 'fdkaac'
  - Writing 2 functions for project 'lsquic'
  - Writing 4 functions for project 'lua-nginx-module'
  - Writing 16 functions for project 'LoRaMac-node'
  - Writing 17 functions for project 'libming'
  - Writing 2 functions for project 'LibRaw-demosaic-pack-GPL2'
  - Writing 4 functions for project 'shellinabox'
  - Writing 19 functions for project 'cpp-peglib'
  - Writing 14 functions for project 'wolfssh'
  - Writing 12 functions for project 'ok-file-formats'
  - Writing 13 functions for project 'ntfs-3g'
  - Writing 1 functions for project 'proxygen'
  - Writing 84 functions for project 'jerryscript'
  - Writing 3 functions for project 'bitlbee'
  - Writing 10 functions for project 'libsixel'
  - Writing 1 functions for project 'charybdis'
  - Writing 1 functions for project 'doom-vanille'
  - Writing 17 functions for project 'accel-ppp'
  - Writing 5 functions for project 'micro-ecc'
  - Writing 6 functions for project 'swoole-src'
  - Writing 14 functions for project 'glewlwyd'
  - Writing 10 functions for project 'unixODBC'
  - Writing 57 functions for project 'mongo-c-driver-legacy'
  - Writing 2 functions for project 'rufus'
  - Writing 9 functions for project 'monkey'
  - Writing 2 functions for project 'MonetDB'
  - Writing 2 functions for project 'qdecoder'
  - Writing 4 functions for project 'znc'
  - Writing 9 functions for project 'hhvm'
  - Writing 4 functions for project 'mongoose-os'
  - Writing 2 functions for project 'ubridge'
  - Writing 26 functions for project 'u-boot'
  - Writing 4 functions for project 'faad2'
  - Writing 1 functions for project 'crun'
  - Writing 1 functions for project 'opensips'
  - Writing 23 functions for project 'libredwg'
  - Writing 6 functions for project 'turbovnc'
  - Writing 3 functions for project 'libav'
  - Writing 3 functions for project 'jpeg-quantsmooth'
  - Writing 7 functions for project 'bzrtp'
  - Writing 24 functions for project 'Espruino'
  - Writing 9 functions for project 'sgminer'
  - Writing 14 functions for project 'vlc'
  - Writing 1 functions for project 'tinc'
  - Writing 1 functions for project 'toybox'
  - Writing 49 functions for project 'wolfssl'
  - Writing 4 functions for project 'at91bootstrap'
  - Writing 17 functions for project 'binutils-gdb'
  - Writing 5 functions for project 'VeraCrypt'
  - Writing 5 functions for project 'fastecdsa'
  - Writing 11 functions for project 'harfbuzz'
  - Writing 6 functions for project 'uftpd'
  - Writing 9 functions for project 'md4c'
  - Writing 5 functions for project 'percona-xtrabackup'
  - Writing 4 functions for project 'openmpt'
  - Writing 5 functions for project 'wolfMQTT'
  - Writing 6 functions for project 'engine'
  - Writing 3 functions for project 'tang'
  - Writing 5 functions for project 'subversion'
  - Writing 3 functions for project 'acpica'
  - Writing 14 functions for project 'atheme'
  - Writing 8 functions for project 'AESCrypt'
  - Writing 3 functions for project 'owntone-server'
  - Writing 22 functions for project 'agoo'
  - Writing 1 functions for project 'nefarious2'
  - Writing 2 functions for project 'osquery'
  - Writing 2 functions for project 'rtl_433'
  - Writing 7 functions for project 'c-shquote'
  - Writing 3 functions for project 'profanity'
  - Writing 4 functions for project 'OpenDoas'
  - Writing 8 functions for project 'gst-plugins-ugly'
  - Writing 7 functions for project 'h2o'
  - Writing 1 functions for project 'exo'
  - Writing 4 functions for project 'totd'
  - Writing 1 functions for project 'yodl'
  - Writing 11 functions for project 'FreeRTOS-Kernel'
  - Writing 2 functions for project 'seatd'
  - Writing 9 functions for project 'rhonabwy'
  - Writing 14 functions for project 'keepkey-firmware'
  - Writing 2 functions for project 'pam_tacplus'
  - Writing 5 functions for project 'v4l2loopback'
  - Writing 1 functions for project 'unrar'
  - Writing 2 functions for project 'mcrouter'
  - Writing 7 functions for project 'contiki-ng'
  - Writing 1 functions for project 'colord'
  - Writing 5 functions for project 'coreboot'
  - Writing 5 functions for project 'mbed-os'
  - Writing 4 functions for project 'bfgminer'
  - Writing 1 functions for project 'media-tree'
  - Writing 3 functions for project 'ippusbxd'
  - Writing 3 functions for project 'portable'
  - Writing 1 functions for project 'shim'
  - Writing 3 functions for project 'tinyproxy'
  - Writing 3 functions for project 'Crow'
  - Writing 8 functions for project 'open5gs'
  - Writing 5 functions for project 'SDL'
  - Writing 2 functions for project 'mpv'
  - Writing 35 functions for project 'openenclave'
  - Writing 4 functions for project 'ssdp-responder'
  - Writing 8 functions for project 'cJSON'
  - Writing 5 functions for project 'openfortivpn'
  - Writing 2 functions for project 'barebox'
  - Writing 4 functions for project 'cgal'
  - Writing 5 functions for project 'Fast-DDS'
  - Writing 2 functions for project 'cortx-s3server'
  - Writing 2 functions for project 'booth'
  - Writing 1 functions for project 'tflite-micro'
  - Writing 2 functions for project 'png2webp'
  - Writing 4 functions for project 'kamailio'
  - Writing 6 functions for project 'axtls-8266'
  - Writing 2 functions for project 'knc'
  - Writing 10 functions for project 'lrzip'
  - Writing 1 functions for project 'ffjpeg'
  - Writing 7 functions for project 'openrazer'
  - Writing 3 functions for project 'doas'
  - Writing 10 functions for project 'moddable'
  - Writing 4 functions for project 'mintty'
  - Writing 4 functions for project 'cmark-gfm'
  - Writing 28 functions for project 're2c'
  - Writing 8 functions for project 'irssi-proxy'
  - Writing 4 functions for project 'systemd-stable'
  - Writing 3 functions for project 'pupnp'
  - Writing 4 functions for project 'shadowsocks-libev'
  - Writing 4 functions for project 'libiec61850'
  - Writing 22 functions for project 'qpdf'
  - Writing 8 functions for project 'libconfuse'
  - Writing 3 functions for project 'libfep'
  - Writing 16 functions for project 'zstd'
  - Writing 11 functions for project 'xterm-snapshots'
  - Writing 1 functions for project 'proxychains-ng'
  - Writing 1 functions for project 'Openswan'
  - Writing 1 functions for project 'zsh'
  - Writing 62 functions for project 'iperf'
  - Writing 11 functions for project 'opa-fm'
  - Writing 3 functions for project 'davs2'
  - Writing 3 functions for project 'das_watchdog'
  - Writing 6 functions for project 'php-radius'
  - Writing 3 functions for project 'relic'
  - Writing 7 functions for project 'cgminer'
  - Writing 2 functions for project 'pesign'
  - Writing 8 functions for project 'deark'
  - Writing 1 functions for project 'android-gif-drawable'
  - Writing 5 functions for project 'libde265'
  - Writing 1 functions for project 'edgeless-mariadb'
  - Writing 2 functions for project 'csync2'
  - Writing 4 functions for project 'zephyr'
  - Writing 11 functions for project 'lwip'
  - Writing 262 functions for project 'server'
  - Writing 6 functions for project 'ocaml'
  - Writing 63 functions for project 'core'
  - Writing 9 functions for project 'graphviz'
  - Writing 2 functions for project 'libpod'
  - Writing 10 functions for project 'gnuplot'
  - Writing 5 functions for project 'mailutils'
  - Writing 12 functions for project 'zfs'
  - Writing 10 functions for project 'libsolv'
  - Writing 59 functions for project 'CImg'
  - Writing 31 functions for project 'ceph'
  - Writing 21 functions for project 'cimg'
  - Writing 6 functions for project 'asylo'
  - Writing 7 functions for project 'gcc'
  - Writing 2 functions for project 'webcc'
  - Writing 2 functions for project 'bubblewrap'
  - Writing 2 functions for project 'ArduinoJson'
  - Writing 1 functions for project 'soundtouch'
  - Writing 1 functions for project 'botan'
  - Writing 2 functions for project 'pigz'
  - Writing 2 functions for project 'mvfst'
